"","Group","Years","Months","HAZ_pop","HAZ_unwpop","HA_3_r","HA_3_se","HA_3_ll","HA_3_ul","HA_2_r","HA_2_se","HA_2_ll","HA_2_ul","HA_1_r","HA_1_se","HA_1_ll","HA_1_ul","HA1_r","HA1_se","HA1_ll","HA1_ul","HA2_r","HA2_se","HA2_ll","HA2_ul","HA3_r","HA3_se","HA3_ll","HA3_ul","HA_r","HA_se","HA_ll","HA_ul","HA_stdev","WAZ_pop","WAZ_unwpop","WA_3_r","WA_3_se","WA_3_ll","WA_3_ul","WA_2_r","WA_2_se","WA_2_ll","WA_2_ul","WA_1_r","WA_1_se","WA_1_ll","WA_1_ul","WA1_r","WA1_se","WA1_ll","WA1_ul","WA2_r","WA2_se","WA2_ll","WA2_ul","WA3_r","WA3_se","WA3_ll","WA3_ul","WA_r","WA_se","WA_ll","WA_ul","WA_stdev","BMIZ_pop","BMIZ_unwpop","BMI_3_r","BMI_3_se","BMI_3_ll","BMI_3_ul","BMI_2_r","BMI_2_se","BMI_2_ll","BMI_2_ul","BMI_1_r","BMI_1_se","BMI_1_ll","BMI_1_ul","BMI1_r","BMI1_se","BMI1_ll","BMI1_ul","BMI2_r","BMI2_se","BMI2_ll","BMI2_ul","BMI3_r","BMI3_se","BMI3_ll","BMI3_ul","BMI_r","BMI_se","BMI_ll","BMI_ul","BMI_stdev"
"1","All","Total (5-19)","(61-228)",2025,2025,6.91358024691358,0.56388339728796,5.886310680116,8.10468861723934,29.1851851851852,1.0105037478707,27.2436873620603,31.2056989445869,68.6913580246914,1.03080806179779,66.6351915292628,70.6765716378583,1.33333333333333,0.254946607042485,0.91562408509919,1.93787531010661,0.345679012345679,0.130460552511979,0.164780939925862,0.723729060743971,0.0493827160493827,0.0493827040125972,0.00694429834904368,0.350264885967789,-1.47602469135802,0.023678497595081,-1.52246143561982,-1.42958794709623,1.06553239177864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,2011,13.873694679264,0.771019023149657,12.4295681634944,15.4559929206715,35.9025360517156,1.0700008074148,33.8321680035132,38.026787945807,69.3187468920935,1.02863907252973,67.2653587220237,71.2982900474162,0.596718050721034,0.171785327828856,0.339022304374713,1.04823181007615,0.149179512680259,0.0860858019409785,0.0480756175892378,0.461924100766261,0,0,2.8894502030637e-10,2.91199653928586e-10,-1.66467429139731,0.0264604927570719,-1.71656690537197,-1.61278167742266,1.18659895851148
"2","Sex: Female","Total (5-19)","(61-228)",1149,1149,5.83115752828547,0.691477642308148,4.6140195586463,7.34464368735046,28.1114012184508,1.32653403021919,25.5845760959135,30.7845461538175,67.2758920800696,1.38455681051837,64.5050606462632,69.9312515315149,1.39251523063533,0.345781741344181,0.854446005973287,2.26169261050932,0.435161009573542,0.194233942396566,0.181106738493411,1.04187960874817,0,0,2.7923002951196e-10,3.01331092735812e-10,-1.43150565709312,0.0307358947555989,-1.49178291407246,-1.37122840011379,1.04204737180443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1147,1147,12.2929380993897,0.969774083358279,10.5140126949567,14.324668897737,32.8683522231909,1.38732452790148,30.2072060582424,35.6442051649413,66.3469921534438,1.39555837608103,63.557713760396,69.0268191408953,0.697471665213601,0.245792644675182,0.348973740531311,1.38914096448217,0.1743679163034,0.123219592485711,0.0435622808576545,0.695215348199848,0,0,2.79208645950424e-10,3.01354170573963e-10,-1.56828247602441,0.0344737879658823,-1.6358902483959,-1.50067470365292,1.16775652564428
"3","Sex: Male","Total (5-19)","(61-228)",876,876,8.33333333333333,0.934050155938106,6.67515203667821,10.3577090190145,30.5936073059361,1.5572924613229,27.627448960855,33.729802093616,70.5479452054795,1.5404765268721,67.4394655070348,73.4763795366908,1.25570776255708,0.376318345694237,0.69638570915494,2.25406819835043,0.228310502283105,0.161295298554815,0.0570404750192569,0.909158730872093,0.114155251141553,0.114118228440075,0.0160514780428724,0.807012241838455,-1.53441780821918,0.0369314407313531,-1.60684537088759,-1.46199024555076,1.09342544488525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,864,864,15.9722222222222,1.24664957602648,13.676051218605,18.5709764133973,39.9305555555556,1.66659381815266,36.7112901064407,43.2392524628273,73.2638888888889,1.50606732054643,70.2089074042686,76.1121814142312,0.462962962962963,0.231002011382985,0.173722749123413,1.22785127090653,0.115740740740741,0.115702285552035,0.0162743837433784,0.818154566116967,0,0,2.75771551292066e-10,3.05110115685894e-10,-1.79263888888889,0.0408087456809726,-1.87267037227261,-1.71260740550517,1.19991640306257
"4","Age Group 1: 61-71 mo","5","(61-71)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Age Group 1: 72-83 mo","6","(72-83)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Age Group 1: 84-95 mo","7","(84-95)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Age Group 1: 96-107 mo","8","(96-107)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Age Group 1: 108-119 mo","9","(108-119)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Age Group 1: 120-131 mo","10","(120-131)",305,305,1.31147540983607,0.651584340342253,0.492682671625145,3.44392990090984,14.0983606557377,1.99316048360891,10.6224060763808,18.4766109259371,51.8032786885246,2.86183509822049,46.191694824627,57.3697411236279,4.59016393442623,1.19858243015112,2.7358353176227,7.60309547615873,1.31147540983607,0.65158434034226,0.492682671625154,3.44392990090979,0.327868852459016,0.327411693839014,0.0460898865043716,2.29283805793265,-0.969016393442623,0.0597602305618805,-1.08621430823789,-0.851818478647358,1.04512481141771,305,305,10.8196721311475,1.77909367944056,7.79242474381781,14.8337682930409,50.8196721311475,2.86331331892764,45.2175554091659,56.4012792007387,83.2786885245902,2.13726976077548,78.659323682363,87.0626110004332,1.31147540983607,0.65158434034226,0.49268267162512,3.44392990090978,0,0,2.61542176680477e-10,3.21709832752839e-10,0,0,2.61542176680477e-10,3.21709832752839e-10,-1.82537704918033,0.0614773273818482,-1.94594242365421,-1.70481167470645,1.07515448957125,303,303,19.8019801980198,2.28992876782035,15.6896615017093,24.6766773150971,45.5445544554455,2.86170410436034,40.0117351655838,51.1895902121245,72.6072607260726,2.56267538646319,67.3068911326244,77.3376434439763,0.66006600660066,0.465309004261743,0.164949043913017,2.6026013219409,0,0,2.61437211331729e-10,3.21838997169376e-10,0,0,2.61437211331729e-10,3.21838997169376e-10,-1.89442244224422,0.073465667503562,-2.03849857715043,-1.75034630733801,1.28059475050264
"10","Age Group 1: 132-143 mo","11","(132-143)",182,182,4.94505494505495,1.6074755581193,2.59135815880392,9.23392649518645,27.4725274725275,3.30957356976166,21.4750523394371,34.4109629345571,69.2307692307692,3.42199489974513,62.1492096093779,75.5095185845486,3.2967032967033,1.32382942790467,1.48749731518313,7.14676292534284,1.0989010989011,0.772949858905301,0.274679804432347,4.28994058077905,0,0,2.52496948992586e-10,3.33234481657732e-10,-1.38087912087912,0.0831887271183319,-1.54402349400274,-1.2177347477555,1.12509559898458,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,182,16.4835164835165,2.75094870947615,11.7680944744034,22.6043248183296,39.5604395604396,3.62545619976271,32.7133655013668,46.8429406509151,71.978021978022,3.3298203851936,65.0129119341528,78.0252181318346,1.64835164835165,0.94403308427339,0.532096086432332,4.98888795423905,0.549450549450549,0.548074200859222,0.077217419151528,3.79986164764698,0,0,2.52496948992586e-10,3.33234481657732e-10,-1.71956043956044,0.0967414232923143,-1.90928348744,-1.52983739168088,1.30839061199798
