id,sex,Age,agemons,weight,height,District,Cluster
1,1,19,228,66,173.4,2,42
2,1,17,204,65,164.8,2,68
3,1,19,228,63,164,2,54
4,1,17,204,63,168.8,3,90
5,1,18,216,61.5,164,3,84
6,1,18,216,61,163.1,2,64
7,1,16,192,61,172,1,27
8,2,18,216,60,157.1,3,85
9,2,15,180,60,162.5,2,57
10,2,15,180,60,164.5,3,73
11,1,19,228,60,168.9,1,20
12,1,18,216,60,169,2,55
13,1,19,228,60,170.8,3,76
14,1,18,216,60,173.5,3,80
15,2,13,156,59,147.5,1,20
16,2,17,204,59,156.1,3,88
17,1,17,204,59,173.3,1,10
18,1,18,216,56,170.1,3,79
19,1,18,216,56,173,2,47
20,1,15,180,56,174.4,3,85
21,1,17,204,56,175.5,1,21
22,1,17,204,55.5,172,1,14
23,2,18,216,55,150.6,2,63
24,2,18,216,55,155.2,2,41
25,1,16,192,55,158.2,2,66
26,1,16,192,55,158.8,3,89
27,1,18,216,55,163.2,2,42
28,1,14,168,55,163.5,2,58
29,1,16,192,55,163.9,3,87
30,1,18,216,55,167,2,57
31,1,14,168,55,167.2,2,40
32,1,18,216,55,168,2,57
33,1,18,216,55,168.4,1,13
34,1,16,192,55,168.8,3,88
35,1,16,192,55,170.4,2,48
36,1,19,228,55,172.2,2,69
37,1,18,216,55,172.7,1,39
38,1,18,216,54.5,171.8,3,84
39,1,18,216,54.4,158.4,3,85
40,1,17,204,54,154,1,12
41,1,19,228,54,160.3,2,63
42,1,18,216,54,164.4,3,85
43,1,19,228,54,165.4,2,45
44,1,18,216,54,168,1,10
45,1,17,204,54,168.4,2,46
46,1,18,216,54,168.5,2,57
47,1,16,192,54,170.6,2,58
48,1,19,228,54,171,2,57
49,2,13,156,53.5,163.3,2,50
50,1,18,216,53.3,157.1,3,85
51,2,15,180,53.1,160.7,3,72
52,2,18,216,53,152.4,3,89
53,1,16,192,53,156.7,1,20
54,2,16,192,53,158.3,3,88
55,2,17,204,53,159,2,42
56,2,16,192,53,159.5,1,16
57,2,19,228,53,160,1,19
58,2,17,204,53,160.3,1,23
59,1,15,180,53,160.6,1,18
60,2,18,216,53,160.8,1,24
61,1,18,216,53,161,1,28
62,1,17,204,53,161.3,2,54
63,2,19,228,53,162,1,29
64,1,19,228,53,163.6,3,71
65,2,16,192,53,163.8,3,86
66,1,17,204,53,166.5,1,16
67,1,17,204,53,166.5,3,80
68,1,16,192,53,167.1,2,65
69,1,15,180,53,168.4,3,72
70,1,17,204,53,169,1,15
71,1,16,192,53,171.5,3,85
72,2,17,204,52.5,153.8,2,55
73,2,17,204,52.5,158.5,2,60
74,1,17,204,52.5,161.1,2,62
75,1,18,216,52.3,169.1,1,11
76,2,14,168,52.1,156,3,87
77,1,15,180,52.1,166.4,1,11
78,1,18,216,52.1,167.4,1,10
79,1,16,192,52.1,168,1,17
80,1,19,228,52.1,171.5,1,16
81,1,17,204,52.1,172.6,3,77
82,2,17,204,52,151.5,3,84
83,2,18,216,52,152.4,3,89
84,2,16,192,52,152.8,1,17
85,2,18,216,52,154.2,3,75
86,2,17,204,52,155.8,3,88
87,2,18,216,52,158.4,2,64
88,1,19,228,52,160.8,1,17
89,1,19,228,52,161.1,2,56
90,1,19,228,52,161.8,1,18
91,2,19,228,52,162.4,3,75
92,1,18,216,52,162.5,1,20
93,1,19,228,52,162.7,2,53
94,1,18,216,52,163.6,1,17
95,1,16,192,52,164,1,24
96,1,15,180,52,164.2,1,18
97,1,19,228,52,164.2,2,63
98,1,18,216,52,165.6,1,27
99,1,18,216,52,165.7,1,12
100,1,17,204,52,167,1,11
101,1,15,180,52,168.4,1,20
102,1,17,204,52,169.4,3,78
103,1,19,228,52,170,1,27
104,1,15,180,52,170.1,3,72
105,1,16,192,52,170.2,3,79
106,1,15,180,52,172.2,1,17
107,1,17,204,52,173,1,27
108,1,15,180,52,173.4,2,55
109,1,19,228,52,174.5,1,15
110,1,18,216,52,175.7,1,16
111,2,14,168,51.5,155.9,1,24
112,2,15,180,51.1,153.5,3,73
113,1,16,192,51.1,165.5,3,90
114,2,16,192,51,150,3,86
